Set,Set Type,Set symbol,Set code,Pre-release date,Release date,Total Cards,Common,Uncommon,Rare,Mythic Rare,Basic Land,Other
Limited Edition Alpha,Base/ Core,None,LEA,none,5-Aug-93,295,74,95,116,0,10,0
Limited Edition Beta,Base/ Core,None,LEB,none,Oct-93,302,75,95,117,0,15,0
Unlimited Edition,Base/ Core,None,2ED,none,Dec-93,302,75,95,117,0,15,0
Revised Edition[II],Base/ Core,None,3ED,none,Apr-94,306,75,95,121,0,15,0
Fourth Edition,Base/ Core,None,4ED,none,Apr-95,378,121,121,121,0,15,0
Fifth Edition,Base/ Core,None / Roman-numeral five,5ED,none,24-Mar-97,449,165,132,132,0,20,0
Classic Sixth Edition,Base/ Core,A Roman-numeral six,6ED,none,28-Apr-99,350,110,110,110,0,20,0
Seventh Edition,Base/ Core,A serif numeral seven,7ED,none,11-Apr-01,350,110,110,110,0,20,0
Eighth Edition,Base/ Core,The number eight superimposed over three fanned cards,8ED,none,28-Jul-03,357,110,110,110,0,20,7
Ninth Edition,Base/ Core,The number nine superimposed over three fanned cards,9ED,none,29-Jul-05,359,110,110,110,0,20,9
Tenth Edition,Base/ Core,A Roman-numeral ten,10E,none,13-Jul-07,383,121,121,121,0,20,0
Magic 2010,Base/ Core,M10,M10,"July 11, 2009[16]",17-Jul-09,249,101,60,53,15,20,0
Magic 2011,Base/ Core,M11,M11,"July 10, 2010[18]",16-Jul-10,249,101,60,53,15,20,0
Magic 2012,Base/ Core,M12,M12,"July 9, 2011[19]",15-Jul-11,249,101,60,53,15,20,0
Magic 2013,Base/ Core,M13,M13,"July 7, 2012[20]",13-Jul-12,249,101,60,53,15,20,0
Magic 2014 Core Set,Base/ Core,M14,M14,"July 13, 2013[21]",19-Jul-13,249,101,60,53,15,20,0
Magic 2015 Core Set,Base/ Core,M15,M15,"July 12, 2014[22]",18-Jul-14,269,101,80,53,15,20,15
Magic Origins,Base/ Core,Planeswalker symbol breaking through the horizon,ORI,"July 11, 2015[24]",17-Jul-15,272,101,80,55,16,20,16
