Set,Expansion symbol,Expansion code,Development codename,Pre-release date,Release date,Total Cards,Common,Uncommon,Rare,Mythic Rare,Basic Land,Other,Block,Cycle
Arabian Nights,A scimitar,ARN,Arabian Nights,none,Dec-93,92,41,19,32,0,0,0,None,
Antiquities,An anvil,ATQ,Antiquities,none,Mar-94,100,30,44,26,0,0,0,None,
Legends,The capital of a Doric column,LEG,Legends,none,Jun-94,310,75,114,121,0,0,0,None,
The Dark,A thin crescent moon,DRK,The Dark,none,Aug-94,119,40,44,35,0,0,0,None,
Fallen Empires,A crown,FEM,Fallen Empires,none,Nov-94,187,121,30,36,0,0,0,None,
Homelands,The globe of Ulgrotha,HML,Homelands,14-Oct-95,Oct-95,140,71,27,42,0,0,0,None,
Ice Age,A snowflake,ICE,Ice Age,none,Jun-95,383,121,121,121,0,20,0,Ice Age,
Alliances,A flowing banner,ALL,Quack,18-May-96,10-Jun-96,199,110,43,46,0,0,0,Ice Age,
Coldsnap,A hanging trio of icicles,CSP,Splat,8-Jul-06,21-Jul-06,155,60,55,40,0,0,0,Ice Age,
Mirage,A palm tree,MIR,Sosumi/Menagerie,21-Sep-96,7-Oct-96,350,110,110,110,0,20,0,Mirage,
Visions,"Zhalfirin Triangle of War/stylized ""V""",VIS,Mirage Jr.,11-Jan-97,3-Feb-97,167,62,55,50,0,0,0,Mirage,
Weatherlight,"The Thran Tome, an open book",WTH,Mochalatte,31-May-97,9-Jun-97,167,62,55,50,0,0,0,Mirage,
Tempest,A storm cloud,TMP,Bogavhati,4-Oct-97,13-Oct-97,350,110,110,110,0,20,0,Tempest,Rath
Stronghold,A portcullis,STH,Rachimulot,21-Feb-98,2-Mar-98,143,55,44,44,0,0,0,Tempest,Rath
Exodus,A bridge,EXO,Gorgonzola,6-Jun-98,15-Jun-98,143,55,44,44,0,0,0,Tempest,Rath
Urza's Saga,Two gears,USG,Armadillo,3-Oct-98,12-Oct-98,350,110,110,110,0,20,0,Urza,Artifacts
Urza's Legacy,A hammer,ULG,Guacamole,6-Feb-99,15-Feb-99,143,55,44,44,0,0,0,Urza,Artifacts
Urza's Destiny,An Erlenmeyer flask,UDS,Chimichanga,29-May-99,7-Jun-99,143,55,44,44,0,0,0,Urza,Artifacts
Mercadian Masques,A domino mask,MMQ,Archimedes,25-Sep-99,4-Oct-99,350,110,110,110,0,20,0,Masques,Masquerade
Nemesis,The spiked halberd wielded by Crovax,NEM,Euripides,5-Feb-00,14-Feb-00,143,55,44,44,0,0,0,Masques,Masquerade
Prophecy,Three crystals,PCY,Dionysus,27-May-00,5-Jun-00,143,55,44,44,0,0,0,Masques,Masquerade
Invasion,The symbol of the Coalition,INV,Beijing,23-Sep-00,2-Oct-00,350,110,110,110,0,20,0,Invasion,Invasion
Planeshift,A swirling portal,PLS,Hong Kong,27-Jan-01,5-Feb-01,143,55,44,44,0,0,0,Invasion,Invasion
Apocalypse,The mask of Yawgmoth,APC,Shanghai,26-May-01,4-Jun-01,143,55,44,44,0,0,0,Invasion,Invasion
Odyssey,The Mirari on a twisted stand,ODY,Argon,22-Sep-01,1-Oct-01,350,110,110,110,0,20,0,Odyssey,Odyssey
Torment,An ouroboros,TOR,Boron,26-Jan-02,4-Feb-02,143,55,44,44,0,0,0,Odyssey,Odyssey
Judgment,A balancing scale,JUD,Carbon,18-May-02,27-May-02,143,55,44,44,0,0,0,Odyssey,Odyssey
